Div,Dept,Sustainability-Inclusive Author Count,SDG-Related Author Count,Not-Related Author Count,Sustainability-Focused Author Count,Division Name Correction,Department Name Correction,Dept Classification,True Department? Only right dept (wrong name not included),Notes,Need Help,Notes
Keck Medicine of USC,Southern California Evidence Review Center,12,16,4,0,,,Academic,no,https://sites.usc.edu/socalevidencereview/,,
Keck Medicine of USC,Student Health,3,2,0,0,,,Administrative,no,,,
Keck Medicine of USC,Translational Genomics,28,43,7,0,,,Academic,yes,,,
Keck Medicine of USC,USC Verdugo Hills Hospital,0,1,0,0,,,Administrative,no,https://www.keckmedicine.org/locations/1812-verdugo-blvd-glendale/,,
Keck Medicine of USC,USC/UKRO Kidney Research Center,6,21,1,0,,,Academic,no,https://keck2.usc.edu/usc-ukro-kidney-research-center/,,
Keck Medicine of USC,Alzheimer Disease Research Center,19,22,3,1,,,Academic,no,https://keck.usc.edu/cpbh/study-enrollment-hub/usc-alzheimers-disease-research-center/,,
Keck Medicine of USC,Anesthesiology,70,140,9,1,,,Academic,yes,,,
Keck Medicine of USC,Diabetes and Obesity Research Institute,17,13,5,1,,,Academic,no,https://usc-dori.org/,,
Keck Medicine of USC,Emergency Medicine,66,91,8,1,,,Academic,yes,,,
Keck Medicine of USC,Family Medicine,54,58,8,1,,,Academic,yes,,,
Keck Medicine of USC,Institute for Technology and Medical Systems Innovation,7,10,6,1,,,Academic,no,https://itemsusc.org/,,
Keck Medicine of USC,Medical Education,18,14,5,1,,,Academic,yes,,,
Keck Medicine of USC,Neurorestoration Center,22,36,16,1,,,Academic and Administrative,no,https://keck2.usc.edu/neurorestoration-center/,,
Keck Medicine of USC,Otolaryngology,87,161,81,1,,,Academic,yes,,,
Keck Medicine of USC,Physiology and Neuroscience,44,124,43,1,,,Academic,yes,,,
Keck Medicine of USC,Gehr Family Center for Health Systems Science,24,19,6,2,,,Academic and Administrative,no,https://keck.usc.edu/gehrcenter/,,
Keck Medicine of USC,Biochemistry and Molecular Medicine,41,133,66,3,,,Academic,yes,,,
Keck Medicine of USC,Institute of Prevention Research,48,44,30,3,,,Academic,no,https://sites.usc.edu/ipr/,,
Keck Medicine of USC,Neurological Surgery,96,181,59,3,,,Academic,yes,,,
Keck Medicine of USC,Research Center for Liver Diseases,27,33,7,3,,,Academic,no,"https://research.usc.edu/news/2021/10/research-center-for-liver-diseases/#:~:text=The%20USC%20Research%20Center%20for,pathobiology%20of%20diseases%20of%20the",,
Keck Medicine of USC,Integrative Anatomical Sciences,14,38,20,4,,,Academic,no,https://keck.usc.edu/integrative-anatomical-sciences/,,
Keck Medicine of USC,Pathology,125,280,61,4,,,Academic,yes,,,
Keck Medicine of USC,Radiology,156,221,69,4,,,Academic,yes,,,
Keck Medicine of USC,Hastings Center for Pulmonary Research,11,47,20,5,,,Academic,no,https://keck.usc.edu/hastings/,,
Keck Medicine of USC,Obstetrics and Gynecology,161,172,41,5,,,Academic,yes,,,
Keck Medicine of USC,Dermatology,77,110,18,6,,,Academic,yes,,,
Keck Medicine of USC,Eli and Edythe Broad Center for Regenerative Medicine and Stem Cell Research,13,112,55,6,,Stem Cell Biology and Regenerative Medicine,Academic,no,,,
Keck Medicine of USC,Ophthalmology,118,281,64,6,,,Academic,yes,,,
Keck Medicine of USC,Other,229,369,48,6,,,Academic and Administrative,no,,,
Keck Medicine of USC,Stem Cell Biology and Regenerative Medicine,25,218,87,7,,,Academic,yes,,,
Keck Medicine of USC,Psychiatry and Behavioral Sciences,108,136,45,8,,,Academic,yes,,,
Keck Medicine of USC,Zilkha Neurogenetic Institute (ZNI),53,182,84,8,,,Academic,no,https://keck.usc.edu/zilkha/,,
Keck Medicine of USC,Institute for Addiction Science (IAS),44,49,39,9,,,Academic,no,https://ias.usc.edu/,,
Keck Medicine of USC,LAC+USC Medical Center,166,236,37,9,,,Administrative,no,https://hcai.ca.gov/hospital/lacusc-medical-center/,,
Keck Medicine of USC,Molecular Microbiology and Immunology,77,186,27,10,,,Academic,yes,,,
Keck Medicine of USC,Neurology,144,228,56,11,,,Academic,yes,,,
Keck Medicine of USC,Urology,191,223,47,11,,,Academic,yes,,,
Keck Medicine of USC,Center for Genetic Epidemiology,60,67,21,13,,,Academic,no,,,
Keck Medicine of USC,Surgery,408,675,137,13,,,Academic,yes,,,
Keck Medicine of USC,Pediatrics,367,474,99,25,,,Academic,yes,,,
Keck Medicine of USC,Norris Comprehensive Cancer Center,390,693,165,35,,,Academic,no,https://keck.usc.edu/genetic-epidemiology-center/,,
Keck Medicine of USC,Children's Hospital Los Angeles,576,896,176,37,,,Academic and Administrative,no,,,
Keck Medicine of USC,Medicine,459,872,90,40,,,Academic,yes,,,
Keck Medicine of USC,Population and Public Health Sciences,624,540,350,154,,,Academic,yes,,,
Leonard Davis School of Gerontology,Agign Services Management,1,1,0,0,,Other,Academic,no,https://www.keckmedicine.org/,,
Leonard Davis School of Gerontology,Biology of Aging,2,5,2,0,,Other,Academic,no,,,
Leonard Davis School of Gerontology,Family Caregiver Support Center,1,1,1,0,,,Academic,no,,,
Leonard Davis School of Gerontology,Gerontology,8,7,3,0,,Other,Academic,no,,,
Leonard Davis School of Gerontology,"Nutrition, Healthspan and Longevity",1,1,0,0,,Other,Academic,no,,,
Leonard Davis School of Gerontology,Alzheimer Disease Research Center,19,22,3,1,,,Academic,no,,,
Leonard Davis School of Gerontology,Longevity Institute,20,20,3,1,,,Academic,no,,,
Leonard Davis School of Gerontology,USC-Buck Nathan Shock Center of Excellence in the Biology of Aging,6,22,7,1,,,Academic,no,,,
Leonard Davis School of Gerontology,Other,115,178,37,10,,,Academic and Administrative,no,,,
Leventhal School of Accounting,Leventhal School of Accounting,10,9,13,1,Marshall School of Business,,Academic,yes,,,
Libraries,Bioinformatics Services,2,3,1,0,,,Academic and Administrative,no,https://libraries.usc.edu/bioinformatics,,
Libraries,East Asian Library (EAL),0,0,1,0,,,Academic and Administrative,yes,,,
Libraries,Hoose Library of Philosophy,1,0,1,0,,,Academic and Administrative,yes,,,
Libraries,Leavey Library,0,0,1,0,,,Academic and Administrative,yes,,,
Libraries,Library for International and Public Affairs,1,1,1,0,,,Academic and Administrative,yes,,,
Libraries,Norris Medical Library,9,6,4,0,,,Academic and Administrative,yes,,,
Libraries,Other,1,3,3,0,,,Academic and Administrative,no,,,
Libraries,Seaver Science Library,1,1,0,0,,,Academic and Administrative,yes,,,
Libraries,Sidney Harman Academy for Polymathic Study,0,0,1,0,,,Academic and Administrative,no,https://polymathic.usc.edu/,,
Libraries,Web and Automation Technologies,0,0,1,0,,Other,Academic and Administrative,no,,,
Libraries,Wilson Dental Library,1,2,1,0,,,Academic and Administrative,yes,,,
Marshall School of Business,Business Administration,2,0,2,0,,Other,Academic,no,,,
Marshall School of Business,Business Analytics,0,0,1,0,,Data Sciences and Operations,Academic,no,,,
Marshall School of Business,Center for Effective Organizations,0,3,5,0,,,Academic and Administrative,no,https://ceo.usc.edu/about-ceo/,,
Marshall School of Business,Center for Global Innovation,0,1,1,0,,,Academic,no,,,
Marshall School of Business,Cognitive Science,1,0,0,0,Dornsife College of Letters Arts and Sciences,Psychology,Academic,no,,,
Marshall School of Business,Data Science,1,0,0,0,,Data Sciences and Operations,Academic,yes,,,
Marshall School of Business,Finance,2,0,0,0,,Finance and Business Economics,Academic,yes,,,
Marshall School of Business,Global Supply Chain Management Program,1,0,1,0,,Data Sciences and Operations,Academic,no,,,
Marshall School of Business,Institute for Outlier Research in Business,0,1,1,0,,,Academic,no,,,
Marshall School of Business,Marketing,7,14,16,0,,,Academic,yes,,,
Marshall School of Business,Master of Management in Library and Information Science,6,1,4,0,,,Academic,no,,,
Marshall School of Business,Medicine/Business Administration,1,0,0,0,,,Academic,no,,,
Marshall School of Business,Technology Commercialization,1,1,1,0,,Lloyd Greif Center for Entrepreneurial Studies,Academic,no,,,
Marshall School of Business,Business Communication,3,4,5,1,,,Academic,yes,,,
Marshall School of Business,Finance and Business Economics,19,16,16,1,,,Academic,yes,,,
Marshall School of Business,Lloyd Greif Center for Entrepreneurial Studies,7,5,4,1,,,Academic,yes,,,
Marshall School of Business,Management and Organization,15,20,22,1,,,Academic,yes,,,
Marshall School of Business,World Bachelor in Business Program,0,0,0,1,,Other,Academic,no,,,
Marshall School of Business,Data Sciences and Operations,19,30,34,3,,,Academic,yes,,,
Marshall School of Business,Other,22,35,39,3,,,Academic and Administrative,no,,,
Office of Professionalism and Ethics,Inclusion and Diversity Operations,1,0,0,0,NA,NA,Administrative,no,https://keck.usc.edu/faculty-search/joyce-m-richey/,Yes,"Wrong division for professor, correct to: department of Physiology and Biophysics at Keck School of Medicine of USC "
Office of the Provost,Center for Excellence in Teaching,0,1,0,0,,,Administrative,no,,,
Office of the Provost,Office of Institutional Research,0,1,0,0,,,Administrative,no,,,
Other,Annenberg School for Communication and Journalism,0,1,0,0,Annenberg School for Communication and Journalism,Other,Academic,no,,,
Other,Other,405,773,686,51,,,Academic and Administrative,no,,,
Price School of Public Policy,Bedrosian Center on Governance,1,1,1,0,,,Academic,no,https://bedrosian.usc.edu/about-2/,,
Price School of Public Policy,"Center for Health Financing, Policy and Management",2,2,2,0,,,Academic and Administrative,no,https://sites.usc.edu/improvinghealth/,,
Price School of Public Policy,Center for Inclusive Democracy,1,1,0,0,,,Academic,no,https://cid.usc.edu/,,
Price School of Public Policy,Center on Philanthropy and Public Policy,0,0,1,0,,,Academic,no,https://cppp.usc.edu/,,
Price School of Public Policy,Health Policy and Management,13,14,4,0,,,Academic,yes,,,
Price School of Public Policy,Lusk Center for Real Estate,0,2,1,0,,Wilbur H. Smith III Department of Real Estate Development,Academic,no,,,
Price School of Public Policy,Master of Health Administration,0,2,0,0,,Health Policy and Management,Academic,no,,,
Price School of Public Policy,Population Dynamics Research Group,2,2,1,0,,,Academic,no,https://sites.usc.edu/popdynamics/,,
Price School of Public Policy,Safe Communities Institute,0,1,1,0,,,Academic,no,https://sci.usc.edu/,,
Price School of Public Policy,Sol Price Center for Social Innovation,1,0,1,0,,,Academic,no,https://priceschool.usc.edu/research/centers/usc-sol-price-center-for-social-innovation/,,
Price School of Public Policy,Sol Price School of Public Policy,1,1,0,0,,Other,Academic,no,,,
Price School of Public Policy,Transportation Systems Management,0,1,0,0,Viterbi School of Engineering,Civil and Environmental Engineering,Academic,no,,,
Price School of Public Policy,Urban Studies and Planning,0,1,0,0,,Urban Planning and Spatial Analysis,Academic,no,,,
Price School of Public Policy,Wilbur H. Smith III Department of Real Estate Development,1,0,1,0,,,Academic,yes,,,
Price School of Public Policy,METRANS Transportation Center,1,1,0,1,,Urban Planning and Spatial Analysis,Academic and Administrative,no,https://www.metrans.org/,,
Price School of Public Policy,Public Policy and Management,6,2,4,1,,,Academic,yes,,,
Price School of Public Policy,Sustainable Policy and Planning,0,0,0,1,,Urban Planning and Spatial Analysis,Academic,no,,,
Price School of Public Policy,Leonard D. Schaeffer Center for Health Policy and Economics,106,88,20,2,,,Academic,no,https://healthpolicy.usc.edu/,,
Price School of Public Policy,Center for Risk and Economic Analysis of Threats and Emergencies (CREATE),13,9,6,3,,,Academic,no,"https://create.usc.edu/overview/#:~:text=CREATE%20serves%20our%20nation%20through,risks%20and%20respond%20to%20emergencies.",,
Price School of Public Policy,Schwarzenegger Institute for State and Global Policy,2,2,2,3,,,Academic,no,https://schwarzenegger.usc.edu/about-the-institute/,,
Price School of Public Policy,Other,40,30,19,10,,,Academic and Administrative,no,,,
Price School of Public Policy,Urban Planning and Spatial Analysis,14,11,2,11,,,Academic,yes,,,
Provost's Office,Provost Office Of Religious Life,0,0,1,0,Office of the Provost,,Administrative,no,https://orsl.usc.edu/,,
Roski School of Art and Design,Performance Studies,0,0,1,0,,Other,Academic,no,https://roski.usc.edu/,,
Roski School of Art and Design,Roski 4D,0,0,1,0,,,Academic,no,https://roski.usc.edu/,,
Rossier School of Education,"Center for Affective Neuroscience, Development, Learning and Education",4,3,4,0,,,Academic,no,https://rossier.usc.edu/,,
Rossier School of Education,"Center for Education, Identity and Social Justice",4,4,3,0,,,Academic,no,https://socialjustice.usc.edu/,,
Rossier School of Education,"Center for Enrollment Research, Policy and Practice",0,1,1,0,,,Academic,no,https://cerpp.usc.edu/,,
Rossier School of Education,"Center on Education Policy, Equity and Governance",2,1,1,0,,,Academic,no,https://cepeg.usc.edu/,,
Rossier School of Education,Evaluation,0,0,1,0,,Education,Academic,no,,,
Rossier School of Education,Masters Programs,0,0,2,0,,Education,Academic,no,,,
Rossier School of Education,Ph.D Program,1,1,0,0,,Education,Academic,no,,,
Rossier School of Education,Phd in Urban Education Program,3,4,2,0,,Education,Academic,no,https://rossier.usc.edu/documents/phd-program-rename,,
Rossier School of Education,Pullias Center for Higher Education,13,15,14,0,,,Academic,no,https://pullias.usc.edu/,,
Rossier School of Education,Race and Equity Center,5,2,2,0,,,Academic and Administrative,no,https://race.usc.edu/,,
Rossier School of Education,Teaching English to Speakers of Other Languages,0,0,2,0,,Education,Academic,no,https://rossier.usc.edu/programs/find-compare-programs/master-arts-teaching-teaching-english-speakers-other-languages,,
Rossier School of Education,Education,16,16,14,1,,Education,Academic,no,,,
Rossier School of Education,Other,33,39,32,4,,Education,Academic,no,,,
School of Architecture,Landscape Justice Initiative,0,0,0,1,,,Academic,no,https://sites.usc.edu/landscape-justice-initiative/,,
School of Architecture,Architecture,5,2,2,3,,School of Architecture,Academic,yes,https://arch.usc.edu/,,
School of Architecture,USC School of Architecture All Departments,2,2,8,5,,Other,Academic,no,,,
School of Architecture,Other,1,3,1,7,,,Academic and Administrative,no,,,
School of Cinematic Arts,Cinema and Media Studies,3,4,10,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Cinematic Interactive Media,1,0,1,0,,Interactive Media and Games Division,Academic,no,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Creative Media and Behavioral Health Center,2,6,2,0,,,Academic,no,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Entertainment Technology Center,0,1,1,0,,,Academic,no,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Film and Television Production,0,0,1,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Interactive Media and Games Division,1,6,2,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,John C. Hench Division of Animation + Digital Arts,0,0,1,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,John Wells Division of Writing for Screen and Television,0,1,0,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Media Arts + Practice Division,1,1,5,0,,,Academic,yes,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Other,2,6,16,0,,,,no,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
School of Cinematic Arts,Performance Studies,0,0,1,0,Roski School of Art and Design,Other,Academic,no,https://cinema.usc.edu/faculty/facultydirectory.cfm,,
Suzanne Dworak-Peck School of Social Work,Center for Innovation and Research on Veterans and Military Families,8,8,8,0,,,Academic,no,https://military.usc.edu/research/center-for-innovation-and-research-on-veterans-and-military-families/,,
Suzanne Dworak-Peck School of Social Work,Enhanced Interdisciplinary Research Training Institute,1,0,0,0,,,Academic,no,http://www.irtiusc.org/,,
Suzanne Dworak-Peck School of Social Work,Hamovitch Research Center,2,2,1,0,,,Academic,no,https://dworakpeck.usc.edu/research/administration-center,,
Suzanne Dworak-Peck School of Social Work,Nursing,8,7,2,0,,Nursing,Academic,yes,https://dworakpeck.usc.edu/departments,,
Suzanne Dworak-Peck School of Social Work,Nursing (Family Nurse Practitioner) - On Line,0,1,0,0,,Nursing,Academic,no,,,
Suzanne Dworak-Peck School of Social Work,Social Change and Innovation,1,1,1,0,,,Academic,yes,,,
Suzanne Dworak-Peck School of Social Work,Suzanne Dworak-Peck School of Social Work,1,0,0,0,,Other,Academic,no,,,
Suzanne Dworak-Peck School of Social Work,Adult Mental Health and Wellness,2,1,1,1,,,Academic,yes,,,
Suzanne Dworak-Peck School of Social Work,Children's Data Network,12,6,7,1,,,Academic,no,https://www.datanetwork.org/,,
Suzanne Dworak-Peck School of Social Work,Edward R. Roybal Institute on Aging,22,14,8,2,,,Academic,no,https://roybal.usc.edu/,,
Suzanne Dworak-Peck School of Social Work,Social Work,11,8,10,5,,Other,Academic,no,,,
Suzanne Dworak-Peck School of Social Work,"Children, Youth and Families",12,10,8,6,,,Academic,yes,,,
Suzanne Dworak-Peck School of Social Work,Center for Artificial Intelligence in Society (CAIS),16,15,23,9,,,Academic,no,https://cais.usc.edu/,,
Suzanne Dworak-Peck School of Social Work,Institute for Addiction Science (IAS),44,49,39,9,,,Academic,no,https://ias.usc.edu/,,
Suzanne Dworak-Peck School of Social Work,Other,114,62,21,12,,,Academic,no,,,
Thornton School of Music,Music Teaching and Learning,3,4,3,0,,,Academic,yes,https://music.usc.edu/departments/music-teaching-learning/,,
Thornton School of Music,Other,1,2,4,0,,,Academic and Administrative,no,,,
University of Southern California,Unclassifiable - Undergraduate Visitor,0,1,0,0,Other,Other,Academic,no,,,
University Relations,Neighborhood Academic Initiative,3,0,0,0,,,Administrative,no,https://communities.usc.edu/educational-partnerships/nai/,,
USC Office of Research and Innovation,Office of Research and Innovation,0,1,0,0,,,Administrative,no,https://research.usc.edu/,,
Viterbi School of Engineering,Center for Neural Engineering,4,3,3,0,,,Academic,no,https://cne.usc.edu/about/,,
Viterbi School of Engineering,Center for Quantum Information Science and Technology (CQIST),4,7,34,0,,Electrical and Computer Engineering,Academic,no,https://sites.usc.edu/cqist/,,
Viterbi School of Engineering,Center for Systems and Software Engineering,0,5,7,0,,Computer Science,Academic,no,,,
Viterbi School of Engineering,Cognitive Science,1,0,0,0,Dornsife College of Letters Arts and Sciences,Psychology,Academic,no,,,
Viterbi School of Engineering,Data Science,1,0,0,0,,Computer Science,Academic,no,,,
Viterbi School of Engineering,Dornsife/Viterbi Machine Shop,0,1,0,0,,Other,Administrative,no,https://viterbischool.usc.edu/research/research-resources-and-programs/shared-research-infrastructure/viterbi-dornsife-machine-shop/,,
Viterbi School of Engineering,Engineering Education,1,0,1,0,,,Academic,no,https://viterbischool.usc.edu/division-of-engineering-education/,,
Viterbi School of Engineering,Engineering in Society,1,0,0,0,,Engineering in Society,Academic and Administrative,no,https://eis.usc.edu/about/,,
Viterbi School of Engineering,Engineering in Society Program,0,1,3,0,,Engineering in Society,Academic and Administrative,no,,,
Viterbi School of Engineering,Information Technology Program,0,2,1,0,,,Academic,no,https://tac.usc.edu/,,
Viterbi School of Engineering,Institute for Future of Computing,0,0,1,0,,,Academic,no,https://ifcomputing.org/,,
Viterbi School of Engineering,Office of Doctoral Programs,0,1,1,0,,Other,Administrative,no,,,
Viterbi School of Engineering,Technology Innovation and Entrepreneurship,1,0,1,0,,,Academic and Administrative,no,https://viterbiinnovation.usc.edu/about/mission/,,
Viterbi School of Engineering,Transportation Systems Management,0,1,0,0,,Civil and Environmental Engineering,Academic,no,,,
Viterbi School of Engineering,Urban Studies and Planning,0,1,0,0,,Urban Planning and Spatial Analysis,Academic,no,,,
Viterbi School of Engineering,Core Center of Excellence in Nano Imaging (CNI),1,13,16,1,,,Academic,no,https://cni.usc.edu/,,
Viterbi School of Engineering,Institute for Creative Technologies,53,82,99,1,,,Academic,no,,,
Viterbi School of Engineering,Signal and Information Processing Institute (SIPI),17,27,29,2,,Electrical and Computer Engineering,Academic,no,,,
Viterbi School of Engineering,Center for Risk and Economic Analysis of Threats and Emergencies (CREATE),13,9,6,3,,,Academic,no,"https://create.usc.edu/overview/#:~:text=CREATE%20serves%20our%20nation%20through,risks%20and%20respond%20to%20emergencies.",,
Viterbi School of Engineering,Center for Advanced Manufacturing (CAM),13,52,28,4,,,Academic,no,https://sites.usc.edu/cam/,,
Viterbi School of Engineering,Robotics and Autonomous Systems Center (RASC),46,80,65,4,,,Academic,no,https://rasc.usc.edu/about/,,
Viterbi School of Engineering,Gill Foundation Composites Center,0,9,18,5,,,Academic,no,https://composites.usc.edu/,,
Viterbi School of Engineering,Integrated Media Systems Center,5,11,9,7,,,Academic,no,https://imsc.usc.edu/,,
Viterbi School of Engineering,Collaboratory for Advanced Computing and Simulations,0,18,26,8,,,Academic,no,https://sites.usc.edu/cacs/,,
Viterbi School of Engineering,Center for Artificial Intelligence in Society (CAIS),16,15,23,9,,,Academic,no,https://cais.usc.edu/about/mission-statement/,,
Viterbi School of Engineering,Biomedical Engineering,180,339,182,12,,,Academic,yes,,,
Viterbi School of Engineering,Industrial and Systems Engineering,31,61,68,12,,,Academic,yes,,,
Viterbi School of Engineering,Other,52,59,67,12,,,Academic and Administrative,no,,,
Viterbi School of Engineering,Aerospace and Mechanical Engineering,55,149,176,19,,,Academic,yes,,,
Viterbi School of Engineering,Astronautical Engineering,18,38,37,22,,,Academic,yes,,,
Viterbi School of Engineering,Information Sciences Institute,124,229,288,33,,,Academic,no,,,
Viterbi School of Engineering,Computer Science,175,416,466,52,,,Academic,yes,https://www.isi.edu/,,
Viterbi School of Engineering,Chemical Engineering and Materials Science,51,208,241,55,,,Academic,yes,,,
Viterbi School of Engineering,Electrical and Computer Engineering,191,556,728,74,,,Academic,yes,,,
Viterbi School of Engineering,Civil and Environmental Engineering,64,124,115,87,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Institute for Advanced Catholic Studies,,,,,,,,,,,
Rossier School of Education,Center for Empowered Learning and Development with Technology,,,,,,,,,,,
Price School of Public Policy,Civic Leadership Education and Research Initiative,,,,,,,,,,,
Annenberg School for Communication and Journalism,Center on Public Diplomacy,,,,,,,,,,,
Dornsife College of Letters Arts and Sciences,Center for International Studies,,,,,,,,,,,
Dornsife College of Letters Arts and Sciences,Archaeology Research Center,,,,,,,,,,,
Leonard Davis School of Gerontology,USC/UCLA Center on Biodemography and Population Health,,,,,,,,,,,